Object Type	Object ID	Object Name	Object Caption	Object Subtype	App Name
Table	50289	Costing Reco Remaining Qty	Costing Reco Remaining Qty	Normal	WY-Customizations
Table	50290	Costing Reco Qty Sales	Costing Reco Qty Sales	Normal	WY-Customizations
Table	50291	Costing Reco Update	Costing Reco Update	Normal	WY-Customizations
Table	50292	Get Sales Line Staging	Get Sales Line Staging	Normal	WY-Customizations
Table	50293	Update Tally Document No.	Update Tally Document No.	Normal	WY-Customizations
Table	50294	Serial No Tracking New	Serial No Tracking New	Normal	WY-Customizations
Table	50500	TDS Summary Bridge table	TDS Summary Bridge table	Normal	WY-Reports
Table	50501	Register Bridge Table	Register Bridge Table	Normal	WY-Reports
Table	50502	Ledger Reconcilation	Ledger Reconcilation	Normal	WY-Reports
Table	50503	Balance Confirmation	Balance Confirmation	Normal	WY-Reports
Table	50505	Cloud Billing Contribution	Cloud Billing Contribution	Normal	WY-Reports
Table	50506	BKB and TDS Billing	BKB and TDS Billing	Normal	WY-Reports
Table	50507	Rebate and ORC bridge	Rebate and ORC bridge	Normal	WY-Reports
Table	50508	po Bridge Table	po Bridge Table	Normal	WY-Reports
Table	50509	pending order bridge	pending order bridge	Normal	WY-Reports
Table	50510	Monthly Debtors Bridge Table	Monthly Debtors Bridge Table	Normal	WY-Reports
Table	50511	TestCustAmnt	Customer Amount	Normal	WY-Reports
Table	50512	TestVendorAmnt	Vendor Amount_new	Normal	WY-Reports
Table	50513	Costing Reco Nov24	Costing Reco Nov24	Normal	WY-Reports
Table	50514	GL  entry update	GL  entry update	Normal	WY-Reports
Table	50515	Stock Bridge	Stock Bridge	Normal	WY-Reports
Table	50605	Sale Order UploadUtil Staging	Sale Order Upload Util Staging	Normal	WYS006-Sales Upload Utility
Table	50607	SO Comment staging table	SO Comment staging table	Normal	WYS006-Sales Upload Utility
Table	50651	Top Inv. Bridge table	Top Inv. Bridge table	Normal	WYS-MIS Reports
Table	50703	ItemStagingTable	Item Staging Master	Normal	WYS005-BCE-CRM Integration
Table	50704	SalesQtoSalesOStaggingTable	Sales Quote to Sales Order Stagging Master	Normal	WYS005-BCE-CRM Integration
Table	50705	CommentStagingTable	Comment Staging Master	Normal	WYS005-BCE-CRM Integration
Table	50706	ProductImportTable	Product Master	Normal	WYS005-BCE-CRM Integration
Table	50731	CustCRMBusinessGroupTable	CustCRMBusinessGroupTable	Normal	WYS005-BCE-CRM Integration
Table	50735	ItemCRMBusinessGroupTable	ItemCRMBusinessGroupTable	Normal	WYS005-BCE-CRM Integration
Table	50742	CustomerStagingMaster	Customer Staging Master	Normal	WYS005-BCE-CRM Integration
Table	50900	GL Entry Update-Vserve	GL Entry Update-Vserve	Normal	WY-Additional CR
Table	50901	Item Appl. Entry Update-Vserve	Item Appl. Entry Update-Vserve	Normal	WY-Additional CR
Table	50902	Item Ledg RemQty Update-Vserve	Item Ledg RemQty Update-Vserve	Normal	WY-Additional CR
Table	50904	Sales Line Upload-Vserve	Sales Line Upload-Vserve	Normal	WY-Additional CR
Table	60101	LUTMaster	LOA/LUT Master	Normal	WYS000-Customization
Table	60102	DeclarationTemplateTable	Declaration Template	Normal	WYS000-Customization
Table	60103	EndConsumerDetailsTable	End Consumer Details	Normal	WYS000-Customization
Table	60104	EInvoiceLedgerEntries	EInvoiceLedgerEntries	Normal	WYS000-Customization
Table	60105	E-way Bill Details	E-way Bill Details	Normal	WYS000-Customization
Table	60106	New E-way Bill Details	New E-way Bill Details	Normal	WYS000-Customization
Table	60107	UpdateData	UpdateData	Normal	WYS000-Customization
Table	60108	HSN-Table Report	HSN-Table Report	Normal	WYS000-Customization
Report	4402	EXR Aged Accounts Rec Excel	Aged Accounts Receivable Excel (Preview)		Dynamics BC Excel Reports
Report	4403	EXR Aged Acc Payable Excel	Aged Accounts Payable Excel (Preview)		Dynamics BC Excel Reports
Report	4404	EXR Vendor Top List	Vendor - Top List Excel (Preview)		Dynamics BC Excel Reports
Report	4405	EXR Trial Balance Excel	Trial Balance Excel (Preview)		Dynamics BC Excel Reports
Report	4406	EXR Trial BalanceBudgetExcel	Trial Balance/Budget Excel (Preview)		Dynamics BC Excel Reports
Report	4407	EXR Trial Bal. Prev Year Excel	Trial Balance/Previous Year Excel (Preview)		Dynamics BC Excel Reports
Report	4408	EXR Trial Bal by Period Excel	Trial Balance by Period Excel (Preview)		Dynamics BC Excel Reports
Report	4409	EXR Customer Top List	Customer - Top List Excel (Preview)		Dynamics BC Excel Reports
Report	4410	EXR Consolidated Trial Balance	Consolidated Trial Balance Excel (Preview)		Dynamics BC Excel Reports
Report	4411	EXR Fixed Asset Details Excel	Fixed Asset Details Excel (Preview)		Dynamics BC Excel Reports
Report	4412	EXR Fixed Asset Analysis Excel	Fixed Asset Analysis Excel (Preview)		Dynamics BC Excel Reports
Report	4413	EXR Fixed Asset Projected	Fixed Asset Projected Value Excel (Preview)		Dynamics BC Excel Reports
Report	50200	Adjust Customer Entries	Adjust Customer Branch Accounting		WY-Customizations
Report	50201	Adjust Vendor Entries	Adjust Vendor Branch Accounting		WY-Customizations
Report	50202	Branch JV Adjusted	Inter Branch Accounting		WY-Customizations
Report	50203	Serial No Tracking Batch	Serial No Tracking Batch		WY-Customizations
Report	50204	Branch Acc & Predoc Update	Branch Acc & Predoc Update		WY-Customizations
Report	50251	Revenue Recognition - Sales	Revenue Recognition - Sales		WY-Customizations
Report	50252	Expense Recognition - Purchase	Expense Recognition - Purchase		WY-Customizations
Report	50253	Parking to Expense Short Close	Parking to Expense Short Close		WY-Customizations
Report	50254	Billing Notification Email	Billing Notification Email		WY-Customizations
Report	50255	Revenue & Expense OPB Recogni	Revenue & Expense OPB Recognition		WY-Customizations
Report	50256	Credit Memo Update	Serial No. Credit Memo Update		WY-Customizations
Report	50258	Costing Reco Sales Qty	Costing Reco Sales Qty		WY-Customizations
Report	50259	Costing GL Entry Update	Costing GL Entry Update		WY-Customizations
Report	50260	SO PO Cr. Memo Update	SO PO Cr. Memo Update		WY-Customizations
Report	50261	Report-Back End JV Post	Report-Back End JV Post		WY-Customizations
Report	50262	Back End PI Diff JV Post	Back End PI Diff JV Post		WY-Customizations
Report	50263	Po & So No Update GL Entry	Po & So No Update GL Entry		WY-Customizations
Report	50264	All Backend Table Wise Fields	All Backend Table Wise Fields		WY-Customizations
Report	50290	Update Tally Document No.	Update Tally Document No. Report		WY-Customizations
Report	50501	Stock Summary	Stock Summary		WY-Reports
Report	50502	Provision Unbilled Purchases	Provision Unbilled Purchases		WY-Reports
Report	50503	TDS Summary Report	TDS Summary Report		WY-Reports
Report	50504	MeWiseOutstandingReport	ME Wise Outstanding Report		WY-Reports
Report	50505	Register Report	Sale/Purchase Register Reports		WY-Reports
Report	50507	Ledger Reconcilation Report	Ledger Reconcilation Report_		WY-Reports
Report	50508	Balance Report	Balance Confirmation Email Report		WY-Reports
Report	50509	Cloud Billing Contribution	Cloud Billing Contribution		WY-Reports
Report	50510	BKB and TDS billing	BKB and TSD Billing		WY-Reports
Report	50513	ContributionSalesReport	Contribution Sales Report		WY-Reports
Report	50514	daily po report	Daily PO Record Report		WY-Reports
Report	50515	Pending Order Status1	Pending Order Status		WY-Reports
Report	50516	PurcahseControlReport	Purchase Control Report		WY-Reports
Report	50517	Rebate and ORC report1	Rebate and ORC report		WY-Reports
Report	50518	Prepaid List Expense	Prepaid List Expense		WY-Reports
Report	50519	Monthly Debtors Report	Monthly Debtors Report		WY-Reports
Report	50520	Admin Outstanding	Administration Expenses Payable		WY-Reports
Report	50521	Cust Top 10	Customer PAN wise Top Report		WY-Reports
Report	50522	Vendor Top 3	Vendor PAN Wise Top Report		WY-Reports
Report	50523	Outstanding MSME Report	Outstanding MSME Report		WY-Reports
Report	50524	Daily Payable Report(MS_Paym)	Daily Payable Report		WY-Reports
Report	50525	Bank_Rec_Repo_Test	Bank Reco Statement Report		WY-Reports
Report	50526	SuggestBankAccReconLines_Wy	Suggest Bank Acc. Recon. Lines - Wyestek		WY-Reports
Report	50527	BLE_Excel_Xport	Bank Payment Export		WY-Reports
Report	50529	Costing GL Entry Update2	Costing GL Entry Update2		WY-Reports
Report	50530	PO number update	PO number update		WY-Reports
Report	50531	Stock Summary New	Stock MIS Report		WY-Reports
Report	50652	Top Inventory Data	Top Inventory Data		WYS-MIS Reports
Report	60101	SalesInvoiceReport	Sales Invoice Report		WYS000-Customization
Report	60102	SalesInvoiceReportUSD	Sales Invoice Report USD		WYS000-Customization
Report	60103	TDSDeclarationPrintReport	TDS Declaration Print		WYS000-Customization
Report	60104	AcknowledgementLUT	Acknowledgement LUT		WYS000-Customization
Report	60105	DeliveryNoteReport	Delivery Note Report		WYS000-Customization
Report	60106	DebitNoteReport	Debit Note Report		WYS000-Customization
Report	60107	SalesCreditNoteReport	Sales Credit Note Report		WYS000-Customization
Report	60108	FinancialCreditNoteReport	Sales Financial Credit Note Report		WYS000-Customization
Report	60109	LedgerReport	LedgerReport		WYS000-Customization
Report	60110	EmailReportPO	Purchase Order Report		WYS000-Customization
Report	60111	SalesInvReptwithoutIRN	Sales Invoice Report		WYS000-Customization
Report	60112	UndoShipmentReport	UNDO Shipment Report		WYS000-Customization
Report	60113	AmountInWordsReport	Amount In Words Report		WYS000-Customization
Report	60114	EwaybillReport	E-Way Bill Report		WYS000-Customization
Report	60115	DueDatesExpiredReport	Due Dates Expired Report		WYS000-Customization
Report	60116	ExpectedReceiptDate	Expected Receipt Date		WYS000-Customization
Report	70100	PurchaseOrderReport	Purchase Order Report		WYS004-Reports
Report	70101	SalesOrderReport	Sales Order Report		WYS004-Reports
Report	70102	Update Ledgers	Update Document		WYS004-Reports
Report	70103	UpdatePostingNo	Update Posting No. New		WYS004-Reports
Report	70104	Update CRM Order	Update CRM Order		WYS004-Reports
Report	70105	Shipment COGS Report	Shipment COGS Report		WYS004-Reports
Report	70106	Ship-Diff-COGS Report	Shipment Difference COGS Report		WYS004-Reports
Report	70107	SO-PO Link Update	SO-PO Link Update		WYS004-Reports
Report	70108	Mask Sales-Order-rpt	Mask Sales Order Report		WYS004-Reports
Report	70109	Posted Voucher1	Posted Voucher Custom		WYS004-Reports
Codeunit	4404	EXT Top Vendor Caption Handler	EXT Top Vendor Caption Handler		Dynamics BC Excel Reports
Codeunit	4405	EXT Top Cust. Caption Handler	EXT Top Cust. Caption Handler		Dynamics BC Excel Reports
Codeunit	4406	EXT Aged Acc. Caption Handler	EXT Aged Acc. Caption Handler		Dynamics BC Excel Reports
Codeunit	4410	Trial Balance	Trial Balance		Dynamics BC Excel Reports
Codeunit	4412	Excel Reports Telemetry	Excel Reports Telemetry		Dynamics BC Excel Reports
Codeunit	50100	VendLedEntries	VendLedEntries		WYS002-MSMECustomization
Codeunit	50200	PAN No. Flow For Customers	PAN No. Flow For Customers		WY-Customizations
Codeunit	50201	PAN No. Flow For Vendors	PAN No. Flow For Vendors		WY-Customizations
Codeunit	50202	Get Sales Lines	Get Sales Lines		WY-Customizations
Codeunit	50203	Sale Header to Archive Header	Sale Header to Archive Header		WY-Customizations
Codeunit	50204	Undo Receipt & Ship Serial	Undo Receipt & Ship Serial		WY-Customizations
Codeunit	50211	Historical Ageing	Historical Ageing		WY-Customizations
Codeunit	50251	Deferral Calculation	Deferral Calculation		WY-Customizations
Codeunit	50252	Sales Credit Memo-Deferral	Sales Credit Memo-Deferral		WY-Customizations
Codeunit	50253	Deferral Before Calculation	Deferral Before Calculation		WY-Customizations
Codeunit	50254	Purch Credit Memo-Deferral	Purch Credit Memo-Deferral		WY-Customizations
Codeunit	50256	Deferral Mid Calculation	Deferral Mid Calculation		WY-Customizations
Codeunit	50257	Deferral Mid Calc Upload	Deferral Mid Calc Upload		WY-Customizations
Codeunit	50258	Deferral Calculation Upload	Deferral Calculation Upload		WY-Customizations
Codeunit	50259	Deferral Mid Calculations	Deferral Mid Calculations		WY-Customizations
Codeunit	50260	Deferral Purch Invoice1	Deferral Purch Invoice1		WY-Customizations
Codeunit	50261	SendEmail	SendEmail		WY-Customizations
Codeunit	50262	Document Posted Successfully	Document Posted Successfully		WY-Customizations
Codeunit	50263	Update Pre-Document No	Update Pre-Document No		WY-Customizations
Codeunit	50264	Scheduler Serial No Tracking	Scheduler Serial No Tracking		WY-Customizations
Codeunit	50299	SaleOrdCopyDocEvents	SaleOrdCopyDocEvents		WY-Customizations
Codeunit	50500	codeUnit_Test	codeUnit_Test		WY-Reports
Codeunit	50716	CustomerStagingCodeunit	CustomerStagingCodeunit		WYS005-BCE-CRM Integration
Codeunit	50717	ItemStagingCodeunit	ItemStagingCodeunit		WYS005-BCE-CRM Integration
Codeunit	50718	SalesQToSalesOStagingCodeunit	SalesQToSalesOStagingCodeunit		WYS005-BCE-CRM Integration
Codeunit	50719	CommentStagingCodeunit	CommentStagingCodeunit		WYS005-BCE-CRM Integration
Codeunit	50720	ProductImporttMasterCodeunit	ProductImporttMasterCodeunit		WYS005-BCE-CRM Integration
Codeunit	50721	NewValidationofSalesQuote	NewValidationofSalesQuote		WYS005-BCE-CRM Integration
Codeunit	50722	Sales-Post-CRM	Sales-Post-CRM		WYS005-BCE-CRM Integration
Codeunit	50900	TDSAdjJou	TDSAdjJou		WY-Additional CR
Codeunit	50902	BackendUpdateEvents	BackendUpdateEvents		WY-Additional CR
Codeunit	60101	SalesPostBefore	SalesPostBefore		WYS000-Customization
Codeunit	60102	PurchasePostBefore	PurchasePostBefore		WYS000-Customization
Codeunit	60103	OnBeforeCopyNewAddressSO	OnBeforeCopyNewAddressSO		WYS000-Customization
Codeunit	60104	OnBeforeCopyNewAddressPO	OnBeforeCopyNewAddressPO		WYS000-Customization
Codeunit	60105	SalesLocationwiseNewPage	SalesLocationwiseNewPage		WYS000-Customization
Codeunit	60106	RemarksCodeunit	RemarksCodeunit		WYS000-Customization
Codeunit	60107	PostedSalesInvUpdateCodeunit	PostedSalesInvUpdateCodeunit		WYS000-Customization
Codeunit	60108	PostedPurchInvUpdateCodeunit	PostedPurchInvUpdateCodeunit		WYS000-Customization
Codeunit	60109	LutCodeunit	LutCodeunit		WYS000-Customization
Codeunit	60110	EndConsumerCodeunit	EndConsumerCodeunit		WYS000-Customization
Codeunit	60111	IrnEwayTaxableApiToken	IrnEwayTaxableApiToken		WYS000-Customization
Codeunit	60112	IrnEwayExpWithoutPaymentTrue	IrnEwayExpWithoutPaymentTrue		WYS000-Customization
Codeunit	60113	IrnEwaySezWithoutPayTrue	IrnEwaySezWithoutPayTrue		WYS000-Customization
Codeunit	60114	IrnEwaySalesCrMemo	IrnEwaySalesCrMemo		WYS000-Customization
Codeunit	60115	IrnEwayExpWithoutPaymentTrueSC	IrnEwayExpWithoutPaymentTrueSC		WYS000-Customization
Codeunit	60116	IrnEwaySezApiWithoutPayFalseSC	IrnEwaySezApiWithoutPayFalseSC		WYS000-Customization
Codeunit	60117	GeneralJournalBatches	GeneralJournalBatches		WYS000-Customization
Codeunit	60118	SendEmailAttachReport	SendEmailAttachReport		WYS000-Customization
Codeunit	60119	PostedSalCrmeUpdateCodeunit	PostedSalCrmeUpdateCodeunit		WYS000-Customization
Codeunit	60120	SalesPurchDebitNoteCodeunit	SalesPurchDebitNoteCodeunit		WYS000-Customization
Codeunit	60121	Ewaybilldetails	Ewaybilldetails		WYS000-Customization
Codeunit	60122	IrnEwayExportwithpaymentFalse	IrnEwayExportwithpaymentFalse		WYS000-Customization
Codeunit	60123	IrnEwayExportwithoutpayFalseSC	IrnEwayExportwithoutpayFalseSC		WYS000-Customization
Codeunit	60124	IrnEwaySEZwithpaymentFalse	IrnEwaySEZwithpaymentFalse		WYS000-Customization
Codeunit	60125	SalesInvEwaybilldetails	SalesInvEwaybilldetails		WYS000-Customization
Codeunit	60126	IrnEwaySezWithoutPayTrueSC	IrnEwaySezWithoutPayTrueSC		WYS000-Customization
Codeunit	60127	CustomAddressCodeunit	CustomAddressCodeunit		WYS000-Customization
Codeunit	60129	Sales Update Posting - Edit	Sales Update Posting - Edit		WYS000-Customization
Codeunit	60130	Purchase Update Posting - Edit	Purchase Update Posting - Edit		WYS000-Customization
Codeunit	60131	Sales Cr Note Update Post Edit	Sales Cr Note Update Post Edit		WYS000-Customization
Codeunit	60132	Purch Cr Update Posting - Edit	Purch Cr Update Posting - Edit		WYS000-Customization
Codeunit	60133	UpdateParentItemNo	UpdateParentItemNo		WYS000-Customization
Codeunit	60134	Update CRMOrder - Edit	Update CRMOrder - Edit		WYS000-Customization
Codeunit	60135	Gen. Led Entries - Edit	Gen. Led Entries - Edit		WYS000-Customization
Codeunit	60136	Cust. Led Entries - Edit	Cust. Led Entries - Edit		WYS000-Customization
Codeunit	60137	Vend. Led Entries - Edit	Vend. Led Entries - Edit		WYS000-Customization
Codeunit	60138	IrnEwayExpWithoutPaywithCur	IrnEwayExpWithoutPaywithCur		WYS000-Customization
Codeunit	60139	IrnEwayExportwithPayWithCurr	IrnEwayExportwithPayWithCurr		WYS000-Customization
Codeunit	60140	IrnEwaySezApiWithoutPaywithCur	IrnEwaySezApiWithoutPaywithCur		WYS000-Customization
Codeunit	60141	IrnEwaySEZWithPaywithCur	IrnEwaySEZWithPaywithCur		WYS000-Customization
Codeunit	60142	IrnEwaySezApiWithPaywithCurSC	IrnEwaySezApiWithPaywithCurSC		WYS000-Customization
Codeunit	60143	IrnEwaySEZWithPaywithCurSC	IrnEwaySEZWithPaywithCurSC		WYS000-Customization
Codeunit	60144	IrnEwayExpWithoutPaywithCurSC	IrnEwayExpWithoutPaywithCurSC		WYS000-Customization
Codeunit	60145	IrnEwayExportwithPayWithCurrSC	IrnEwayExportwithPayWithCurrSC		WYS000-Customization
Codeunit	60146	Qr Code-Update	Qr Code-Update		WYS000-Customization
Codeunit	60147	Import-Json Response	Import-Json Response		WYS000-Customization
Codeunit	60148	HSN-Report Codeunit	HSN-Report Codeunit		WYS000-Customization
Codeunit	60900	Run_Code	Run_Code		AL_Wysetek_CL
Codeunit	70100	Sales Shipment CR	Sales Shipment CR		WYS004-Reports
Codeunit	70101	Update Parent - Edit	Update Parent - Edit		WYS004-Reports
Codeunit	70102	GenLedAmountUpdate	GenLedAmountUpdate		WYS004-Reports
Codeunit	70103	Update Parent Sales - Edit	Update Parent Sales - Edit		WYS004-Reports
Codeunit	70104	RefInvNo-Codeunit	RefInvNo-Codeunit		WYS004-Reports
Codeunit	70105	Update-UserId	Update-UserId		WYS004-Reports
Codeunit	70106	Post Inventory Cost to G/L-Ext	Post Inventory Cost to G/L-Ext		WYS004-Reports
Codeunit	70107	Dim-Mgt-CodeunitExt	Dim-Mgt-CodeunitExt		WYS004-Reports
Codeunit	70119	Purchase Order Create Ext	Purchase Order Create Ext		WYS004-Reports
Codeunit	70120	Update Purchase Orders	Update Purchase Orders		WYS004-Reports
Codeunit	70121	Update Sales Orders	Update Sales Orders		WYS004-Reports
Codeunit	70122	UpdatePostedPurchaseReceipts	UpdatePostedPurchaseReceipts		WYS004-Reports
Codeunit	70123	UpdatePostedPurchaseInvoices	UpdatePostedPurchaseInvoices		WYS004-Reports
Codeunit	70124	UpdatePostedPurchaseCrMemos	UpdatePostedPurchaseCrMemos		WYS004-Reports
Codeunit	70125	Update Posted Sale Shipments	Update Posted Sale Shipments		WYS004-Reports
Codeunit	70126	Update Posted Sale Invoices	Update Posted Sale Invoices		WYS004-Reports
Codeunit	70127	UpdatePostedSaleCreMemos	UpdatePostedSaleCreMemos		WYS004-Reports
Codeunit	80150	ItemLedger and GL/Entry update	ItemLedger and GL/Entry update		Wysetek_Deferal_Zero_Validation
XMLport	50200	Sales Order Upload Utility	Sales Order Upload Utility		WY-Customizations
XMLport	50201	Sales Order Upload Log	Sales Order Upload Log		WY-Customizations
XMLport	50202	PO Serial Tracking Upload	PO Serial Tracking Upload Utility		WY-Customizations
XMLport	50203	SO Serial Tracking Upload	SO Serial Tracking Upload Utility		WY-Customizations
XMLport	50204	Export Items XMLport	Export Items		WY-Customizations
XMLport	50205	Revenue Deferral Upload	Revenue Deferral Upload		WY-Customizations
XMLport	50206	Expense Deferral Upload	Expense Deferral Upload		WY-Customizations
XMLport	50207	Rev & Exp Deferral Upload	Rev & Exp Deferral Upload		WY-Customizations
XMLport	50208	SO & PO Link Upload	SO & PO Link Upload		WY-Customizations
XMLport	50600	Sales Order Upload Utility_	Sales Order Upload Utility -CRM		WYS006-Sales Upload Utility
XMLport	50601	Sales Order Upload Log_	Sales Order Upload Log		WYS006-Sales Upload Utility
XMLport	50602	SO Comment Upload	SO Comment Upload" -CRM		WYS006-Sales Upload Utility
XMLport	60100	IRNUploadUtility	IRN Upload Utility		WYS000-Customization
XMLport	60102	DMSUniversal	DMSUniversal		WYS000-Customization
Page	50100	EnterpriseMasterListPage	Enterprise Master List	List	WYS002-MSMECustomization
Page	50200	PO & SO Link Page	PO & SO Link Page	List	WY-Customizations
Page	50201	Get Sales Lines	Get Sales Lines	List	WY-Customizations
Page	50202	Purchase Serial No Tracking	Purchase Serial No Tracking	List	WY-Customizations
Page	50203	Serial Tracking Log	Serial Tracking Log	List	WY-Customizations
Page	50204	Sales Serial No Tracking	Sales Serial No Tracking	List	WY-Customizations
Page	50205	Custom Billing Notification	Custom Billing Notification	List	WY-Customizations
Page	50206	Deferral Lines List Page	Deferral Lines	List	WY-Customizations
Page	50207	Outstanding Sales Lines	Outstanding Sales Lines	List	WY-Customizations
